REAL_ESTATE_ID,Township,Deeded_Acreage,Total_sale_Price,Year_Built,HEATED_AREA,DESIGN_STYLE,BATH,Story_Height,PHYSICAL_CITY,PHYSICAL_ZIP_CODE,year,month,Quarter
62072,16,0.26,9000,1971,1219,G,B,A,GARNER,27529.0,1994,12,4
62097,10,0.59,165000,1955,2503,A,E,C,WENDELL,27591.0,1997,10,4
62118,16,0.34,79000,1966,960,A,A,A,RALEIGH,27610.0,1999,9,3
62144,1,0.18,31000,1935,892,A,A,A,RALEIGH,27601.0,1997,4,2
62152,1,0.18,109000,1935,2124,A,E,A,RALEIGH,27604.0,1994,7,3
62168,7,0.71,192500,1960,1904,G,C,A,RALEIGH,27612.0,1997,12,4
62185,17,0.56,87000,1960,1300,A,B,A,RALEIGH,27604.0,1996,10,4
62190,19,0.43,99500,1970,1300,G,A,A,WAKE FOREST,27587.0,1997,9,3
62196,1,0.44,267500,1927,3572,A,F,C,RALEIGH,27608.0,1992,7,3
62206,1,0.26,210000,1939,2152,A,D,K,RALEIGH,27608.0,1992,8,3
62234,20,3.0,109000,1973,2152,A,D,A,APEX,27523.0,1990,4,2
62241,1,0.15,146000,1942,2000,A,C,B,RALEIGH,27608.0,1992,1,1
62243,1,0.44,415000,1960,3356,A,D,C,RALEIGH,27612.0,1998,10,4
62261,1,0.3,180000,1937,1502,A,A,A,RALEIGH,27608.0,1996,9,3
62267,1,0.13,27500,1969,840,A,A,A,RALEIGH,27610.0,1995,7,3
62301,13,0.33,104500,1970,1671,I,D,A,RALEIGH,27604.0,1995,6,2
62306,12,0.69,33000,1952,792,A,A,A,FUQUAY VARINA,27526.0,1994,3,1
62330,4,0.78,130000,1972,2093,I,E,A,CARY,27511.0,1994,12,4
62341,17,0.63,135000,1972,2021,G,C,A,KNIGHTDALE,27545.0,1996,8,3
62342,19,6.1,70000,1965,1025,G,A,A,RALEIGH,27616.0,1993,7,3
62342,19,6.1,70000,1970,738,A,A,A,RALEIGH,27616.0,1993,7,3
62350,17,29.11,500000,1971,1056,A,A,A,KNIGHTDALE,27545.0,1999,1,1
62350,17,29.11,500000,1971,1056,A,A,A,KNIGHTDALE,27545.0,1999,1,1
62353,19,0.66,87000,1987,1196,A,C,A,WAKE FOREST,27587.0,1996,8,3
62427,18,0.66,50000,1960,1360,A,C,A,CARY,27518.0,1996,7,3
62431,16,0.51,34000,1940,728,A,A,A,GARNER,27529.0,1990,11,4
62431,16,0.51,34000,1960,800,A,A,A,GARNER,27529.0,1990,11,4
62433,1,0.44,68000,1958,1144,A,A,A,RALEIGH,27606.0,1990,2,1
62448,15,6.55,158000,1935,1572,A,E,A,RALEIGH,27603.0,1995,7,3
62449,16,0.58,67500,1955,1246,G,A,A,GARNER,27529.0,1993,6,2
62459,16,0.32,79000,1964,1202,A,B,A,GARNER,27529.0,1996,8,3
62491,1,0.17,213000,1930,1771,A,C,A,RALEIGH,27608.0,1994,9,3
62496,1,0.14,43500,1991,1250,A,B,A,RALEIGH,27607.0,1992,11,4
62520,1,0.15,222000,1934,1433,A,C,K,RALEIGH,27608.0,1997,12,4
62524,16,0.53,20000,1961,1248,G,A,A,RALEIGH,27603.0,1999,5,2
62566,10,0.6,63000,1940,1213,A,A,A,WENDELL,27591.0,1993,3,1
62595,1,0.53,230000,1957,4179,A,E,A,RALEIGH,27608.0,1993,6,2
62598,1,0.36,130000,1960,2503,G,E,A,RALEIGH,27612.0,1992,1,1
62600,11,0.57,117000,1962,2116,I,C,A,RALEIGH,27612.0,1993,2,1
62601,1,0.26,180000,1952,1152,A,A,A,RALEIGH,27607.0,1998,1,1
62618,17,0.34,63500,1959,1000,A,A,A,RALEIGH,27609.0,1991,10,4
62622,1,0.76,150000,1955,2012,A,B,A,RALEIGH,27610.0,1999,10,4
62655,4,0.43,131000,1957,1634,I,A,A,CARY,27511.0,1999,6,2
62658,1,0.17,138500,1940,1044,A,A,A,RALEIGH,27608.0,1999,6,2
62662,1,0.26,163500,1964,2568,J,C,A,RALEIGH,27609.0,1998,1,1
62669,1,0.34,89000,1959,2055,I,E,A,RALEIGH,27610.0,1993,11,4
62675,11,0.32,147500,1969,3022,J,E,A,RALEIGH,27607.0,1990,7,3
62678,1,0.4,252500,1965,2232,A,C,A,RALEIGH,27612.0,1998,4,2
62680,1,0.42,136000,1966,3006,A,E,A,RALEIGH,27612.0,1991,9,3
62686,4,0.3,139000,1971,2645,J,E,A,CARY,27511.0,1994,6,2
62687,4,0.46,149500,1970,1566,G,J,A,RALEIGH,27607.0,1998,5,2
62708,1,0.23,68500,1958,1056,G,A,A,RALEIGH,27604.0,1999,4,2
62722,7,0.23,62000,1971,1056,A,A,A,RALEIGH,27615.0,1991,2,1
62735,1,0.82,89000,1955,1690,A,B,A,RALEIGH,27606.0,1992,6,2
62741,4,0.49,119500,1965,2025,I,E,A,CARY,27511.0,1991,8,3
62761,7,0.3,89500,1968,1950,I,D,A,RALEIGH,27609.0,1992,2,1
62763,16,0.34,139500,1964,2207,G,D,A,GARNER,27529.0,1997,3,1
62773,1,0.5,165000,1960,1893,A,C,A,RALEIGH,27612.0,1993,9,3
62783,1,0.27,64500,1925,2016,A,D,C,RALEIGH,27608.0,1996,7,3
62789,4,0.77,28500,1968,1896,I,J,A,RALEIGH,27607.0,1991,6,2
62821,16,0.42,93000,1962,2309,I,D,A,RALEIGH,27603.0,1990,3,1
